,Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge,y
1336,1993-12-11,11.73,1.433742899,1.308729562,790000.0,0.352008769874322,0.12501333700000017
1337,1993-12-12,11.81,1.489514953,1.327598122,791000.0,0.1563482638389,0.1619168310000001
1338,1993-12-13,12.35,1.870551005,1.351175456,798000.0,0.882586638849619,0.519375549
1339,1993-12-14,12.44,2.024309576,1.385985511,810000.0,0.868472231834414,0.6383240649999999
1340,1993-12-15,12.19,1.595349023,1.416817349,816000.0,-0.0988283854201003,0.17853167400000003
1341,1993-12-16,12.3,1.614876641,1.442008032,825000.0,-0.0145008284261601,0.172868609
1342,1993-12-17,12.2,1.351451271,1.505052208,824000.0,-0.159565572871177,-0.153600937
1343,1993-12-18,12.14,1.329370758,1.5535434,828000.0,-0.0090627157459901,-0.22417264199999987
1344,1993-12-19,12.24,1.306815835,1.588883362,828000.0,0.373304374797243,-0.28206752699999993
1345,1993-12-20,12.31,1.388252046,1.630497677,830000.0,0.763716799724838,-0.24224563099999985
1346,1994-01-01,8.15,1.785574836,1.34368238,501000.0,0.406337780084122,0.44189245600000016
1347,1994-01-02,8.15,2.15242643,1.342896644,487000.0,0.527047833660889,0.8095297859999997
1348,1994-01-03,7.69,1.914559133,1.32920599,467000.0,0.807127529396741,0.5853531430000001
1349,1994-01-04,7.08,1.540255491,1.347981216,450000.0,0.120906600765271,0.19227427499999994
1350,1994-01-05,6.26,1.011703945,1.441805525,429000.0,-0.266192207978677,-0.4301015799999999
1351,1994-01-06,6.16,1.186201002,1.506386411,409000.0,0.0553036259722827,-0.32018540900000003
1352,1994-01-10,5.34,0.996358505,1.483778451,384000.0,0.186927368213949,-0.48741994600000005
1353,1994-01-11,5.5,1.24152152,1.420353426,381000.0,0.4025119307854,-0.17883190599999987
1354,1994-01-12,5.33,1.114782253,1.363088148,374000.0,0.327401273788871,-0.2483058950000001
1355,1994-01-13,5.18,1.067590165,1.313804996,376000.0,0.531362331021841,-0.24621483100000008
1356,1994-01-14,5.09,0.954579734,1.27214613,384000.0,0.35321356782653,-0.31756639600000014
1357,1994-01-15,5.11,0.791597363,1.232529909,416000.0,-0.0895999363897942,-0.44093254599999987
1358,1994-01-16,6.11,1.296326447,1.186914154,440000.0,0.722428595846063,0.10941229299999988
1359,1994-01-17,6.6,1.417543418,1.163160064,469000.0,1.08653882917976,0.254383354
1360,1994-01-18,7.38,1.757556997,1.183543007,522000.0,0.32896257509963,0.5740139900000001
1361,1994-01-19,7.55,1.195957152,1.186222009,550000.0,0.0900959548241256,0.009735143000000113
1362,1994-01-25,8.0,0.956703474,1.229463438,548000.0,-0.119085383900369,-0.272759964
1363,1994-01-26,8.02,1.219826391,1.247047064,530000.0,0.0449063325870167,-0.027220672999999973
1364,1994-01-27,8.08,1.626188306,1.23975818,515000.0,0.29268166071085,0.38643012600000004
1365,1994-01-31,9.41,1.782092184,1.2054943,620000.0,-0.0204644185869608,0.5765978839999999
1366,1994-02-01,9.52,1.635300868,1.278384951,641000.0,0.0313756447915076,0.356915917
1367,1994-02-02,9.89,1.659653418,1.396998558,658000.0,-0.0516483691675557,0.26265486000000005
1368,1994-02-03,10.52,2.034375709,1.486994915,679000.0,-0.143528370309809,0.547380794
1369,1994-02-04,11.08,2.279069096,1.526730276,701000.0,0.0114883125011206,0.7523388200000001
1370,1994-02-05,11.74,2.599940288,1.526910155,725000.0,0.240703472624318,1.073030133
1371,1994-02-06,12.03,2.52119625,1.530734558,756000.0,0.240026469529712,0.990461692
1372,1994-02-07,12.08,2.221017687,1.509749312,780000.0,0.0605661732426622,0.7112683749999997
1373,1994-02-14,13.21,1.559850207,1.292991434,872000.0,-0.0464797981744991,0.26685877300000005
1374,1994-02-15,13.27,1.582030199,1.32021486,872000.0,0.0877815198835044,0.261815339
1375,1994-02-16,13.27,1.597300333,1.328970486,872000.0,0.0189855201588611,0.26832984699999995
1376,1994-02-17,13.31,1.52440067,1.327610926,872000.0,0.102090716032463,0.19678974399999993
1377,1994-02-18,13.37,1.613100577,1.333140401,865000.0,0.125341462201662,0.2799601759999999
1378,1994-02-19,13.35,1.587119592,1.347260525,862000.0,0.484020243947897,0.23985906700000004
1379,1994-02-20,13.11,1.467147656,1.355311618,853000.0,0.38135190323764,0.11183603800000008
1380,1994-02-21,13.03,1.555167939,1.343538541,847000.0,0.34927822332347,0.2116293979999999
1381,1994-02-22,13.07,1.857390199,1.337653484,840000.0,0.479398693093825,0.5197367149999998
1382,1994-02-23,13.07,1.948154748,1.312750711,845000.0,0.988771211218389,0.635404037
1383,1994-02-24,13.05,1.843213518,1.275099132,854000.0,0.232592888289743,0.568114386
1384,1994-02-25,12.93,1.632680759,1.245064273,859000.0,0.107438126815326,0.387616486
1385,1994-02-26,12.99,1.615386062,1.22207566,870000.0,0.149400874243842,0.393310402
1386,1994-02-27,13.23,1.62154707,1.208710913,885000.0,0.121320344235183,0.4128361570000001
1387,1994-02-28,13.51,1.547596178,1.208147277,901000.0,0.239583237509468,0.33944890100000014
1388,1994-03-01,13.87,1.573450193,1.273617225,918000.0,0.857434189319303,0.29983296800000003
1389,1994-03-02,13.77,1.409677419,1.37640787,932000.0,0.925156688337714,0.03326954900000012
1390,1994-03-03,13.75,1.08163457,1.44514659,944000.0,-0.501832707243158,-0.36351201999999994
1391,1994-03-04,13.8,1.010603189,1.473563471,953000.0,-0.514723273860188,-0.46296028200000006
1392,1994-03-05,13.98,0.976433642,1.472983799,960000.0,-0.311274688138747,-0.49655015700000005
1393,1994-03-06,14.15,1.057065666,1.461400903,969000.0,0.136488810411001,-0.40433523699999996
1394,1994-03-07,14.27,1.079731971,1.473198462,980000.0,0.0711423134540891,-0.3934664910000001
1395,1994-03-08,14.49,1.102632664,1.477870794,990000.0,0.0791534632673026,-0.37523813000000006
1396,1994-03-09,14.81,1.246157883,1.476648304,998000.0,1.02567815884816,-0.23049042100000006
1397,1994-03-10,14.72,1.228572129,1.456078514,1005000.0,0.409454162181476,-0.2275063850000001
1398,1994-03-24,15.16,1.198315037,1.379845726,1013000.0,0.274124692371839,-0.18153068900000013
1399,1994-03-25,15.14,1.393092252,1.325747882,1013000.0,0.23250794178333,0.06734437000000004
1400,1994-03-26,15.05,1.334268997,1.286808917,1009000.0,0.237526790498865,0.047460079999999794
1401,1994-03-27,15.1,1.169311301,1.26253927,1005000.0,0.687543935156862,-0.09322796899999997
1402,1994-03-28,15.04,1.31216466,1.324221706,1002000.0,0.926068949274021,-0.012057046000000016
1403,1994-03-29,14.88,1.243790946,1.375535271,996000.0,-0.301110497794868,-0.13174432499999988
1404,1994-03-30,14.72,1.176481448,1.425479273,985000.0,-0.301148107701846,-0.248997825
1405,1994-03-31,14.64,1.013359254,1.442469295,970000.0,-0.401298394755397,-0.42911004099999994
1406,1994-04-01,14.55,1.358761164,1.421610898,950000.0,-0.310861388762922,-0.06284973400000005
1407,1994-04-02,14.37,1.458784719,1.379529412,933000.0,-0.219824189160985,0.07925530700000016
1408,1994-04-03,14.21,1.574161267,1.335228369,916000.0,-0.199562253401509,0.23893289800000006
1409,1994-04-04,14.1,1.733230198,1.328279151,903000.0,-0.146719755866259,0.40495104699999995
1410,1994-04-05,13.98,1.810207512,1.363945391,894000.0,0.159138665014835,0.4462621210000002
1411,1994-04-06,14.1,1.938282617,1.3841701,897000.0,0.666540699440802,0.5541125170000001
1412,1994-04-07,14.04,1.977802528,1.378077946,900000.0,0.0916862089522001,0.5997245819999999
1413,1994-04-08,13.99,1.913267425,1.440651622,902000.0,0.0154212285267775,0.47261580299999983
1414,1994-04-09,14.04,1.891060637,1.498559715,902000.0,0.276622699194939,0.392500922
1415,1994-04-10,14.1,1.889981313,1.543079298,903000.0,0.269282284076217,0.34690201499999995
1416,1994-04-11,14.21,1.895663305,1.565629305,905000.0,0.322681974828094,0.33003399999999994
1417,1994-04-12,14.31,1.912394581,1.574263196,908000.0,0.489072381736673,0.33813138500000006
1418,1994-04-13,14.3,1.916338232,1.612581217,910000.0,0.290775544020999,0.30375701499999996
1419,1994-04-14,14.35,1.95118536,1.662056972,911000.0,0.185834166217844,0.28912838799999996
1420,1994-04-15,14.2,1.930231584,1.702951896,911000.0,0.230380087378896,0.22727968799999987
1421,1994-04-21,14.39,1.00967087,1.392554389,980000.0,-0.0496546824350291,-0.38288351899999995
1422,1994-04-22,14.59,1.149295789,1.361383595,989000.0,-0.0902887179604467,-0.212087806
1423,1994-04-23,14.77,1.222646706,1.320401504,1002000.0,-0.0769758382307838,-0.09775479799999998
1424,1994-04-24,15.06,1.187338941,1.329995178,1013000.0,0.182147632255823,-0.14265623699999996
1425,1994-04-25,15.17,1.188018042,1.371514401,1026000.0,0.252460380073875,-0.18349635900000005
1426,1994-04-26,15.32,1.140843466,1.396697083,1040000.0,0.313638589868437,-0.2558536170000001
1427,1994-04-27,15.46,0.980107259,1.39503596,1047000.0,0.252502426278172,-0.414928701
1428,1994-04-28,15.62,1.043975653,1.361749403,1061000.0,0.336391461679421,-0.31777374999999997
1429,1994-04-29,15.82,1.050078671,1.29773961,1071000.0,0.326741785512554,-0.24766093899999997
1430,1994-04-30,15.71,1.045486562,1.221461765,1074000.0,0.66034407252052,-0.1759752029999999
